time [h],exp.0 biomass conc. at 22 °C,exp.1 biomass conc. at 24 °C,exp.2 biomass conc. at 26 °C,exp.3 biomass conc. at 28 °C,exp.4 biomass conc. at 30 °C,exp.5 biomass conc. at 32 °C,exp.6 biomass conc. at 34 °C,exp.7 biomass conc. at 36 °C
0.0,0.09399819337682695,0.1194093248369268,0.09812848445512207,0.09821008083225358,0.08877059435488595,0.09231086479784914,0.09287596240890778,0.10950457113785676
1.0,0.10484814583122586,0.11680528567019201,0.14785342992064754,0.12962920493994098,0.13281177821172457,0.10566413536390917,0.10433363871953517,0.12069717652851193
2.0,0.10340907126110252,0.1261081482864495,0.1662744874132469,0.17097776724920433,0.18044145836853295,0.1831778678432006,0.13619064691297753,0.153976260838776
3.0,0.1212367554495141,0.1712438826048192,0.18970859905265872,0.30959191309902273,0.2666790577075001,0.2566852943549154,0.2297934258299104,0.15333710760624802
4.0,0.13782907159402166,0.1858378497823855,0.22809946447510335,0.41931216584472464,0.36437778430564327,0.31307248414958494,0.2701299468677057,0.1785501168872434
5.0,0.16325871052696422,0.2639688300805383,0.35648293957045163,0.37885248230162155,0.5070622569502208,0.35363043812290235,0.31965910218150406,0.19958308654492274
6.0,0.16543378498361935,0.2546822226501275,0.38286969196349313,0.4830230534762408,0.531782954125445,0.549032304395033,0.37379751876276374,0.2741710728829367
7.0,0.18000471182491984,0.2542635999061306,0.4773845099030343,0.626591640749794,0.7935524613525027,0.8499615775435703,0.41707938189655513,0.3281905658529164
8.0,0.19691165964522386,0.31568343095347323,0.523759746218184,0.7856787070288038,1.0685917915472392,0.9409950768864801,0.5724334627067815,0.32426156559613056
9.0,0.22811201195393363,0.34264316441330633,0.7308408506170816,1.2433041617148928,1.7070955682186657,1.4236790164756616,0.836209149509562,0.39592560515374137
10.0,0.2424866460910164,0.38155370374598,1.1174873600338995,1.8230004669456326,2.022127789555352,1.5059324208272218,0.9482397728124937,0.45521667486743156
11.0,0.2007295228630998,0.5788654553135606,1.0485767605127028,2.22107045072658,3.0702409451678574,2.85068375678372,1.10951268697566,0.47736470220854454
12.0,0.2883913215126966,0.5964257878000426,1.372608856339684,3.036962002883152,4.563808034216758,3.3184058146280546,1.7339266961882132,0.4912029612332792
13.0,0.33687471893752724,0.6769247751275591,1.5732311700731856,4.01570688103202,5.83405457205092,4.0941903505701704,2.0313951536948194,0.8078073584573089
14.0,0.2902907057083619,0.9382220996846417,2.0370646964595904,4.962561691075199,6.8980378608220585,5.729136805677598,2.333992867286845,0.868332242916561
15.0,0.38305816008483456,1.1916930191426778,3.003954615788972,5.978432557371918,8.881215719829182,7.28817914275929,2.8913524366280314,1.0452794345356606
16.0,0.5335723844286036,1.0846362525306816,3.6917918233673044,10.63012859918763,13.658444682429835,10.694532874168397,3.832660479724306,1.1976978294284362
17.0,0.47686061400967095,1.1448745783171135,4.065253720534009,13.461821467240917,18.159862699307535,10.06861515624471,5.179649097429701,1.455260293749023
