time [h],exp.0 biomass conc. at 22 °C,exp.1 biomass conc. at 24 °C,exp.2 biomass conc. at 26 °C,exp.3 biomass conc. at 28 °C,exp.4 biomass conc. at 30 °C,exp.5 biomass conc. at 32 °C,exp.6 biomass conc. at 34 °C,exp.7 biomass conc. at 36 °C
37.0,2.812076099183096,23.171063773360526,71.23927790371428,76.35907579312867,70.87885314714615,65.11840322461939,62.79050612384889,21.174065215696658
38.0,2.566194855883917,21.319687855208752,72.12097785798818,71.17096965313434,63.73116918722875,58.43783578503216,64.6894011669558,20.214354585807804
39.0,2.619986227914252,28.034488944029356,63.7804674173934,63.70826715531341,80.37272805402486,83.45872600953177,65.02254840130182,23.17607872926789
40.0,3.126755976976909,32.37875808912553,67.97420760347134,72.51959343490591,73.93032406919131,86.91981756284407,62.96655375084118,29.10369052497694
41.0,3.899748953937926,28.96117309807561,73.30506795449192,68.39683089081537,80.19556907320839,74.20434642580169,72.05470868184683,30.909133841088465
42.0,3.6357293651646927,34.34570715420129,67.2040254473889,74.3672074584759,72.97087929480809,64.77752679943603,69.08199517044213,31.807531645181097
43.0,3.6500547823338714,27.1301529696347,75.90025672055137,73.44177361484721,82.96432645061542,86.36562115836463,65.10499580731066,37.52870872840849
44.0,4.262360235618577,38.96815147031884,80.13811701365749,76.18700899351384,82.30104908551276,69.69676817810867,78.17838733676477,38.59898216801859
45.0,5.408635210239591,41.89732764514565,64.07454824756572,85.99811692452263,71.72700414285327,80.92653816222644,80.45734055284696,34.44139123585981
46.0,5.252430790216099,42.05697879632347,76.79969805984041,59.01776786636991,69.07676806460884,75.4301364456934,71.30081064233947,40.466395329232554
47.0,5.4361107949806575,60.2804304081333,67.64561654252687,60.912925361949625,88.6308791909364,70.70758870834314,80.91621355611076,47.91262981764196
