File_Type,GValue
File_Version,2
GP,
MTP_Type,24Wells_Square
MTP_Wells_X,6
MTP_Wells_Y,4
Timestamp,20210507_171028
MTP,3
Plate-ID,
Cal File Used,cal_white24square
Well_Distance_X_MM,18
Well_Distance_Y_MM,18
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,6,0
Rectangle_Spot_Size_Y_MM,6,0
Deviation_From_Center_X_MM,0,0
Deviation_From_Center_Y_MM,0,0
Deviation_From_Perfect_Parallelness_DEG,0,0
Geometric_Correction_MM,0,60
Ignore_Top_G_Pixel_Percent,25,0
Ignore_Bottom_G_Pixel_Percent,10,0

Time (min),A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,,Input_Image
720,"70,636","68,362","66,675","77,276","88,342","78,048","82,632","89,011","75,684","77,160","107,280","78,588","67,508","109,631","76,229","103,917","99,018","77,468","7,873","9,616","10,639","9,973","9,262","8,439",,mtp03_20210508_051032.bmp
750,"71,322","72,930","61,026","83,250","92,916","81,319","87,968","92,593","85,260","81,112","109,610","78,531","70,286","109,406","83,638","107,502","104,096","82,161","7,943","9,605","10,629","9,975","9,298","8,501",,mtp03_20210508_054032.bmp
780,"74,697","76,822","55,994","87,204","96,171","86,355","91,188","94,070","89,710","86,314","114,672","87,419","73,209","109,091","84,766","114,255","108,520","86,684","7,897","9,569","10,583","9,949","9,233","8,476",,mtp03_20210508_061031.bmp
810,"76,549","83,338","57,225","89,798","99,213","90,936","95,762","100,063","94,738","89,765","121,359","92,555","74,873","109,612","88,226","122,246","112,223","88,722","7,928","9,652","10,672","9,993","9,315","8,534",,mtp03_20210508_064031.bmp
840,"79,690","88,323","54,130","96,277","105,459","95,375","102,331","102,553","99,008","98,203","126,396","99,342","79,685","113,388","96,510","128,622","116,823","96,601","7,955","9,658","10,671","10,016","9,350","8,529",,mtp03_20210508_071033.bmp
870,"81,417","91,084","50,645","103,160","110,807","100,716","109,829","112,133","102,048","103,232","130,684","101,585","83,437","119,349","101,918","133,447","120,983","100,654","7,923","9,659","10,665","10,020","9,275","8,507",,mtp03_20210508_074032.bmp
900,"88,447","98,407","50,524","105,062","115,569","105,591","116,003","114,472","109,901","107,594","134,248","108,773","93,587","121,805","107,832","138,168","124,811","108,531","7,923","9,658","10,642","9,999","9,309","8,517",,mtp03_20210508_081032.bmp
930,"91,833","103,692","49,605","111,638","119,585","108,850","120,971","119,869","114,389","109,633","139,115","112,967","104,444","125,727","108,862","140,708","139,096","113,857","7,902","9,620","10,679","10,007","9,316","8,497",,mtp03_20210508_084031.bmp
960,"100,848","110,142","51,225","116,190","124,801","115,336","126,786","126,067","117,845","116,219","143,009","115,899","106,265","130,271","116,297","145,439","141,875","120,441","7,960","9,702","10,677","10,031","9,320","8,535",,mtp03_20210508_091031.bmp
990,"105,371","112,040","51,770","121,840","130,014","121,736","131,144","130,544","121,131","119,746","147,234","122,748","114,285","132,917","121,849","148,826","145,180","127,090","7,945","9,662","10,683","10,043","9,353","8,521",,mtp03_20210508_094031.bmp
1020,"113,007","114,955","53,995","125,476","134,651","126,524","136,592","134,052","127,204","127,254","150,652","127,202","118,538","136,354","124,341","152,868","148,863","132,330","7,946","9,705","10,688","10,022","9,331","8,567",,mtp03_20210508_101033.bmp
1050,"115,984","121,262","56,893","129,321","138,987","131,472","140,877","135,971","130,533","131,880","152,936","132,617","123,904","141,086","130,313","155,116","152,097","139,751","7,917","9,640","10,649","10,019","9,324","8,447",,mtp03_20210508_104032.bmp
1080,"123,628","126,642","60,486","135,979","142,556","135,964","146,521","140,150","137,265","134,943","157,056","137,862","131,387","144,192","134,199","159,278","155,991","142,923","7,933","9,679","10,675","10,059","9,338","8,540",,mtp03_20210508_111033.bmp
1110,"129,151","128,832","56,888","139,225","148,263","141,682","148,726","148,130","140,327","137,862","158,422","141,598","136,427","147,971","138,038","160,656","158,171","149,208","7,964","9,716","10,728","10,077","9,370","8,561",,mtp03_20210508_114032.bmp
1140,"132,818","134,727","65,321","143,802","151,329","144,259","152,349","151,503","142,888","140,422","160,757","145,727","140,606","150,441","140,399","162,726","159,835","150,587","7,968","9,674","10,714","10,018","9,332","8,551",,mtp03_20210508_121033.bmp
